timestamp_sec,raw_odom_yaw,raw_imu_yaw,ekf_filtered_yaw,raw_odom_w,raw_imu_w,ekf_filtered_w,raw_odom_v,ekf_filtered_v
451.464,1.2341,2.3989,2.399,0.0004,0.0,-0.0,0.0,0.0
451.525,1.2341,2.3989,2.399,-0.0004,0.0,-0.0,0.0,0.0
451.569,1.2341,2.3989,2.399,-0.0001,0.0,-0.0,0.0,0.0
451.615,1.2341,2.3989,2.399,0.0002,0.0,-0.0,0.0,0.0
451.678,1.2341,2.3989,2.3989,0.0,0.0,-0.0,0.0,0.0
451.716,1.2341,2.3989,2.3989,0.0004,0.0,0.0,0.0,0.0
451.765,1.2341,2.399,2.3989,0.0003,0.0,0.0,0.0,0.0
451.824,1.2341,2.399,2.399,0.0005,0.0,0.0,0.0,0.0
451.867,1.2341,2.399,2.399,0.0004,0.0,0.0,0.0,0.0
451.917,1.2341,2.399,2.399,-0.0009,0.0,-0.0,0.0,0.0
451.972,1.2341,2.3989,2.399,-0.0008,0.0,-0.0,0.0,0.0
452.017,1.2341,2.399,2.399,0.0007,0.0,0.0,0.0,0.0
452.065,1.2341,2.399,2.399,-0.0,0.0,0.0,0.0,0.0
452.124,1.2341,2.399,2.399,0.0003,0.0,0.0,0.0,0.0
452.166,1.2341,2.399,2.399,-0.0,0.0,0.0,0.0,0.0
452.219,1.2341,2.399,2.399,-0.0,0.0,0.0,0.0,0.0
452.273,1.2341,2.3989,2.399,-0.0007,0.0,-0.0,0.0,0.0
452.32,1.2341,2.399,2.399,0.0006,0.0,0.0,0.0,0.0
452.365,1.2341,2.3989,2.399,-0.0004,0.0,-0.0,0.0,0.0
452.427,1.2341,2.399,2.399,0.0009,0.0,0.0,0.0,0.0
452.467,1.2341,2.3989,2.399,-0.0011,0.0,-0.0,0.0,0.0
452.527,1.2341,2.399,2.399,0.0003,0.0,0.0,0.0,0.0
452.571,1.2341,2.3989,2.399,-0.0008,0.0,-0.0,0.0,0.0
452.619,1.2341,2.399,2.399,0.001,0.0,0.0,0.0,0.0
452.666,1.2341,2.3989,2.399,-0.0008,0.0,-0.0,0.0,0.0
452.723,1.2341,2.399,2.399,0.0013,0.0,0.0,0.0,0.0
452.767,1.2342,2.399,2.399,0.0004,0.0,0.0,0.0,0.0
452.815,1.234,2.3989,2.399,-0.0027,0.0,-0.0,0.0,0.0
452.872,1.2341,2.3989,2.3989,0.0012,0.0,0.0,0.0,0.0
452.92,1.2341,2.3989,2.3989,-0.0004,0.0,-0.0,0.0,0.0
452.965,1.234,2.3989,2.3989,-0.0005,0.0,-0.0,0.0,0.0
453.025,1.2341,2.3989,2.3989,0.0005,0.0,0.0,0.0,0.0
453.071,1.2341,2.3989,2.3989,0.0002,0.0,0.0,0.0,0.0
453.116,1.2341,2.3989,2.3989,0.0002,0.0,0.0,0.0,0.0
453.173,1.234,2.3988,2.3989,-0.0018,0.0,-0.0,0.0,0.0
453.224,1.2341,2.3989,2.3989,0.0015,0.0,0.0,0.0,0.0
453.267,1.2341,2.399,2.3989,0.0009,0.0,0.0,0.0,0.0
453.323,1.2341,2.3989,2.3989,-0.0006,0.0,0.0,0.0,0.0
453.371,1.2341,2.3989,2.3989,0.0002,0.0,0.0,0.0,0.0
453.415,1.2342,2.399,2.3989,0.0012,0.0,0.0,0.0,0.0
453.477,1.2341,2.399,2.3989,-0.0005,0.0,0.0,0.0,0.0
453.52,1.2341,2.399,2.399,-0.0002,0.0,0.0,0.0,0.0
453.567,1.2341,2.3989,2.3989,-0.0008,0.0,-0.0,0.0,0.0
453.624,1.234,2.3989,2.3989,-0.001,0.0,-0.0,0.0,0.0
453.668,1.2341,2.3989,2.3989,0.0012,0.0,0.0,0.0,0.0
453.718,1.234,2.3989,2.3989,-0.0014,0.0,-0.0,0.0,0.0
453.773,1.2341,2.3989,2.3989,0.001,0.0,0.0,0.0,0.0
453.821,1.234,2.3989,2.3989,-0.0004,0.0,-0.0,0.0,0.0
453.868,1.2341,2.3989,2.3989,0.0004,0.0,0.0,0.0,0.0
453.926,1.2341,2.399,2.3989,0.0015,0.0,0.0,0.0,0.0
453.969,1.2341,2.399,2.3989,-0.0003,0.0,0.0,0.0,0.0
454.019,1.234,2.3989,2.3989,-0.0016,0.0,-0.0,0.0,0.0
454.075,1.2341,2.3989,2.3989,0.0006,0.0,0.0,0.0,0.0
454.122,1.2341,2.3989,2.3989,-0.0005,0.0,-0.0,0.0,0.0
454.166,1.234,2.3989,2.3989,-0.0007,0.0,-0.0,0.0,0.0
454.224,1.2341,2.399,2.3989,0.0016,0.0,0.0,0.0,0.0
454.271,1.2341,2.399,2.3989,0.0009,0.0,0.0,0.0,0.0
454.315,1.2341,2.3989,2.3989,-0.0014,0.0,-0.0,0.0,0.0
